SIZE,40,20
Heros,5,2
PoutreHorizontale,4,3
PoutreVerticale,4,2
PoutreVerticale,4,1
PoutreHorizontale,5,3
PoutreHorizontale,6,3
PoutreVerticale,9,2
PoutreVerticale,9,1
PoutreHorizontale,9,3
#trou
Colonne,11,5,4,3
PoutreHorizontale,12,3
PoutreHorizontale,13,3
Bombe,13,2
PoutreHorizontale,14,3
PoutreHorizontale,15,3
PoutreHorizontale,16,3
PoutreHorizontale,16,4
PoutreHorizontale,17,4
PoutreHorizontale,18,4
PoutreHorizontale,19,4
PoutreHorizontale,20,4
PoutreHorizontale,21,4
PoutreHorizontale,22,4
PoutreHorizontale,23,4
PoutreHorizontale,24,4
Smick,24,3
PoutreHorizontale,25,4
PoutreHorizontale,26,4
PoutreHorizontale,26,3
PoutreHorizontale,27,3
PoutreHorizontale,28,3
PoutreHorizontale,28,4
PoutreHorizontale,29,4
PoutreHorizontale,30,4
#trou
#trou
Corde,33,1
Corde,33,2
Corde,33,3
Corde,33,4
Corde,33,5
PoutreHorizontale,34,3
PoutreHorizontale,35,3
PoutreHorizontale,36,3
Bombe,36,2
PoutreHorizontale,37,3
PoutreHorizontale,38,3
#première étage
PoutreHorizontale,1,4
Bombe,1,3
#trou
PoutreHorizontale,2,6
PoutreHorizontale,3,6
PoutreHorizontale,4,6
PoutreHorizontale,5,6
PoutreHorizontale,6,6
PoutreHorizontale,7,6
PoutreHorizontale,8,6
PoutreHorizontale,9,6
PoutreHorizontale,10,6
PoutreHorizontale,11,6
PoutreHorizontale,12,6
PoutreHorizontale,13,6
PoutreHorizontale,14,6
PoutreHorizontale,15,6
PoutreHorizontale,16,6
PoutreHorizontale,17,6
PoutreHorizontale,18,6
PoutreHorizontale,19,6
PoutreHorizontale,20,6
PoutreHorizontale,21,6
PoutreHorizontale,22,6
PoutreHorizontale,23,6
PoutreHorizontale,24,6
PoutreHorizontale,25,6
PoutreHorizontale,26,6
PoutreHorizontale,27,6
PoutreHorizontale,28,6
PoutreHorizontale,29,6
PoutreHorizontale,30,6
PoutreHorizontale,31,6
PoutreHorizontale,32,6
PoutreHorizontale,33,6
PoutreHorizontale,34,6
PoutreHorizontale,35,6
PoutreHorizontale,36,6
PoutreHorizontale,37,6
PoutreHorizontale,38,6
#deuxième étage
PoutreHorizontale,1,9
PoutreHorizontale,2,9
PoutreHorizontale,3,9
PoutreHorizontale,4,9
PoutreHorizontale,5,9
